cluster,size,seed,type,type_info,tree_name
2087,6,TARA_067.SAMEA2620970.5.0.22-3_1144606_1,IV-Non-photo,,IV-Non-photo.828
2088,3,TARA_037.SAMEA2619974.600.0.1-0.22_12821_4,Unknown,,Unknown.1067
2089,1,WP_127703278.1,IV-Non-photo,,IV-Non-photo.193
2090,1,WP_058747445.1,Unknown,,Unknown.634
2091,1,WP_108660984.1,IV-Non-photo,,IV-Non-photo.529
2092,1,TWT29792.1,IV-Non-photo,,IV-Non-photo.562
2093,1,PIO05869.1,Unknown,,Unknown.373
2094,1,TARA_076.SAMEA2621203.5.0.22-0.45_2958446_5,IV-GOS_Global,,IV-GOS_Global.98
2095,23,AEJ82140.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 21, Unknown: 2",I-Eukaryotes/Unknown.127
2096,1,NNK62704.1,IV-DeepYkr,,IV-DeepYkr.151
2097,2,SR_VP2cm,I-Banda,,I-Banda.27
2098,1,OYV36618.1,IV-DeepYkr,,IV-DeepYkr.328
2099,1,WP_027883497.1,IV-DeepYkr,,IV-DeepYkr.187
2100,4,WP_142882467.1,IV-DeepYkr,,IV-DeepYkr.434
2101,1,QLL24578.1,IV-DeepYkr,,IV-DeepYkr.359
2102,1,NWG24261.1,IV-DeepYkr,,IV-DeepYkr.432
2103,1,PKL90597.1,IV-DeepYkr,,IV-DeepYkr.55
2104,1,HHJ80279.1,Unknown,,Unknown.989
2105,1,AEB19871.1,I-Eukaryotes,,I-Eukaryotes.69
2106,1,RBG_16_Elusimicrobia_66_12_RBG_16_scaffold_20757_18,IV-DeepYkr,,IV-DeepYkr.4
2107,1,QDZ22786.1,IV-DeepYkr,,IV-DeepYkr.356
2108,1,WP_110266207.1,I-CD,,I-CD.162
2109,1,WP_088563002.1,I-CD,,I-CD.148
2110,3,WP_111601856.1,I-E,,I-E.50
2111,1,WP_075943437.1,I-E,,I-E.42
2112,3,QJX14027.1,Unknown,,Unknown.694
2113,2,NOR36075.1,Unknown,,Unknown.937
2114,2,MAG02838.1,Unknown,,Unknown.566
2115,2,HHB92538.1,Unknown,,Unknown.844
2116,1,ACU33160.1,Unknown,,Unknown.676
2117,2,MBC7228801.1,IV-Ykr-2,,IV-Ykr-2.98
2118,1,GWB1_Spirochaetes_66_5_GWB1_scaffold_33904_7,IV-Ykr-2,,IV-Ykr-2.12
2119,1,RLE90341.1,Unknown,,Unknown.311
2120,1,NCC69987.1,Unknown,,Unknown.300
2121,4,CBM42545.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 3, Unknown: 1",I-Eukaryotes/Unknown.75
2122,2,VDD89191.1,III,,III.34
2123,3,WP_132107072.1,IV-NG2,,IV-NG2.45
2124,1,RLG40594.1,Unknown,,Unknown.130
2125,1,WP_039408745.1,IV-Non-photo,,IV-Non-photo.548
2126,1,WP_043751344.1,IV-Non-photo,,IV-Non-photo.186
2127,3,WP_114836278.1,IV-Non-photo,,IV-Non-photo.178
2128,1,TARA_037.SAMEA2619970.600.0.22-1.6_27685_12,Unknown,,Unknown.1048
2129,1,WP_029030721.1,IV-Non-photo,,IV-Non-photo.786
2130,1,WP_159881706.1,IV-NG1,,IV-NG1.43
2131,3,WP_056040612.1,IV-NG1,,IV-NG1.33
2132,2,WP_149766903.1,IV-Non-photo,,IV-Non-photo.369
2133,1,WP_092701597.1,Unknown,,Unknown.278
2134,2,WP_146897677.1,IV-Non-photo,,IV-Non-photo.318
2135,1,WP_153713041.1,IV-Non-photo,,IV-Non-photo.622
2136,1,WP_065319537.1,IV-Non-photo,,IV-Non-photo.676
2137,2,WP_188814207.1,IV-Non-photo,,IV-Non-photo.417
2138,2,WP_007068008.1,IV-Non-photo,,IV-Non-photo.80
2139,1,WP_158995115.1,IV-Non-photo,,IV-Non-photo.620
2140,1,TET90869.1,Unknown,,Unknown.466
2141,1,WP_126013530.1,IV-Non-photo,,IV-Non-photo.439
2142,2,TARA_032.SAMEA2619838.5.0-0.22_38_32,IV-GOS_Global,,IV-GOS_Global.86
2143,1,OPY25448.1,Unknown,,Unknown.547
2144,2,RKE66117.1,IV-DeepYkr,,IV-DeepYkr.337
2145,1,RPH66779.1,IV-DeepYkr,,IV-DeepYkr.468
2146,1,HGZ79218.1,IV-DeepYkr,,IV-DeepYkr.52
2147,1,NLV67565.1,IV-DeepYkr,,IV-DeepYkr.77
2148,1,WP_130281127.1,IV-DeepYkr,,IV-DeepYkr.110
2149,1,WP_092900519.1,IV-DeepYkr,,IV-DeepYkr.410
2150,1,TMJ47646.1,IV-DeepYkr,,IV-DeepYkr.268
2151,1,WP_119340733.1,IV-DeepYkr,,IV-DeepYkr.60
2152,1,AAA74068.1,Unknown,,Unknown.656
2153,1,MBA3498600.1,IV-DeepYkr,,IV-DeepYkr.386
2154,1,AQR59057.1,I-Eukaryotes,,I-Eukaryotes.73
2155,3,NQW31181.1,IV-DeepYkr,,IV-DeepYkr.226
2156,1,AEB19885.1,Unknown,,Unknown.755
2157,1,QIT07278.1,Unknown,,Unknown.740
2158,4,VWX55567.1,I-CD,,I-CD.27
2159,1,WP_196444687.1,I-Unclassified,,I-Unclassified.7
2160,15,AAQ04017.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 12, Unknown: 3",I-Eukaryotes/Unknown.175
2161,1,HHJ18802.1,Unknown,,Unknown.890
2162,1,HHS84286.1,Unknown,,Unknown.897
2163,1,RKZ38922.1,Unknown,,Unknown.874
2164,1,HDY61933.1,I-Banda,,I-Banda.1
2165,1,RLG46891.1,Unknown,,Unknown.358
2166,4,WP_013143699.1,Unknown,,Unknown.372
2167,2,PNV81702.1,Unknown,,Unknown.363
2168,1,HFK21229.1,Unknown,,Unknown.499
2169,624,AOO78332.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 555, Unknown: 69",I-Eukaryotes/Unknown.29
2170,1,KYK35232.1,Unknown,,Unknown.194
2171,1,RPJ53846.1,Unknown,,Unknown.86
2172,1,WP_091904701.1,IV-Non-photo,,IV-Non-photo.67
2173,2,NBT78024.1,IV-Non-photo,,IV-Non-photo.18
2174,2,YP004484882_Methanotorris_igneus_Kol_5,Unknown,,Unknown.1022
2175,3,WP_008086508.1,Unknown,,Unknown.249
2176,1,VDD88942.1,III,,III.88
2177,2,WP_132213644.1,IV-NG2,,IV-NG2.4
2178,1,WP_169123134.1,IV-Non-photo,,IV-Non-photo.73
2179,1,NIO44666.1,Unknown,,Unknown.65
2180,1,WP_045279020.1,IV-NG2,,IV-NG2.26
2181,1,WP_189681893.1,IV-Non-photo,,IV-Non-photo.739
2182,2,NCV28966.1,IV-Non-photo,,IV-Non-photo.803
2183,2,WP_167208902.1,IV-Non-photo,,IV-Non-photo.418
2184,2,WP_149105294.1,IV-Non-photo,,IV-Non-photo.335
2185,2,AHF16883.1,IV-Non-photo,,IV-Non-photo.57
2186,3,AWX52797.1,Unknown,,Unknown.705
2187,1,NWJ46707.1,IV-DeepYkr,,IV-DeepYkr.186
2188,1,HAJ78659.1,IV-DeepYkr,,IV-DeepYkr.111
2189,1,WP_152010003.1,IV-DeepYkr,,IV-DeepYkr.327
2190,1,TAH51644.1,IV-DeepYkr,,IV-DeepYkr.146
2191,1,MSW74952.1,IV-DeepYkr,,IV-DeepYkr.375
2192,1,ATW66424.1,Unknown,,Unknown.1008
2193,1,TES94876.1,Unknown,,Unknown.393
2194,1,NQT48605.1,IV-Ykr-2,,IV-Ykr-2.176
2195,55,EXC35991.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 43, Unknown: 12",I-Eukaryotes/Unknown.37
2196,3,PCI58772.1,I-CD,,I-CD.149
2197,2,MBC7767924.1,I-CD,,I-CD.78
2198,1,WP_115837261.1,I-CD,,I-CD.62
2199,1,WP_042058906.1,I-CD,,I-CD.74
2200,3,MBA2414764.1,I-E,,I-E.47
2201,1,WP_109430377.1,I-G,,I-G.9
2202,1,KPK05749.1,I-A,,I-A.60
2203,1,AAD02078.1,Unknown,,Unknown.643
2204,1,HHX99687.1,Unknown,,Unknown.598
2205,2,WP_054967076.1,I-A,,I-A.59
2206,1,WP_054967092.1,I-A,,I-A.75
2207,2,WP_022606968.1,I-B,,I-B.2
2208,2,WP_018289723.1,Unknown,,Unknown.768
2209,3,Q59462_Hydrogenovibrio_marinus_II,Unknown,,Unknown.1031
2210,4,AAA98059.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 3, Unknown: 1",I-Eukaryotes/Unknown.185
2211,11,AAC36434.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 10, Unknown: 1",I-Eukaryotes/Unknown.108
2212,2,RLE73046.1,Unknown,,Unknown.306
2213,1,WP_055158783.1,IV-Ykr-2,,IV-Ykr-2.126
2214,2,cg1_0.2_scaffold_3141_c_19,Unknown,,Unknown.23
2215,1,WP_008115247.1,IV-Non-photo,,IV-Non-photo.135
2216,2,WP_085660091.1,IV-Photo,,IV-Photo.13
2217,1,RLG53383.1,Unknown,,Unknown.50
2218,2,WP_062608944.1,IV-Non-photo,,IV-Non-photo.47
2219,1,OYT38348.1,Unknown,,Unknown.125
2220,1,WP_043241766.1,IV-Non-photo,,IV-Non-photo.353
2221,3,WP_033068782.1,IV-Non-photo,,IV-Non-photo.506
2222,1,VDD89211.1,Unknown,,Unknown.59
2223,2,WP_187736028.1,IV-Non-photo,,IV-Non-photo.749
2224,3,WP_137238025.1,IV-Non-photo,,IV-Non-photo.125
2225,1,WP_067292125.1,IV-Non-photo,,IV-Non-photo.402
2226,1,WP_136819954.1,IV-Non-photo,,IV-Non-photo.190
2227,2,RLI78728.1,Unknown,,Unknown.72
2228,1,WP_026039622.1,IV-Non-photo,,IV-Non-photo.44
2229,1,AAA86103.1,Unknown,,Unknown.741
2230,1,AAT57786.1,Unknown,,Unknown.973
2231,2,VDD88876.1,III,,III.116
2232,1,KAA3627279.1,IV-DeepYkr,,IV-DeepYkr.301
2233,1,WP_169237118.1,IV-DeepYkr,,IV-DeepYkr.41
2234,2,WP_187299336.1,IV-DeepYkr,,IV-DeepYkr.253
2235,1,XP_037432414.1,I-Eukaryotes,,I-Eukaryotes.95
2236,2,SED07816.1,IV-DeepYkr,,IV-DeepYkr.307
2237,1,AGB51712.1,I-A,,I-A.99
2238,1,PWB79594.1,I-CD,,I-CD.80
2239,2,WP_093428314.1,I-A,,I-A.66
2240,1,WP_136897902.1,Unknown,,Unknown.702
2241,1,RPH94496.1,Unknown,,Unknown.869
2242,1,HHS03910.1,I-Banda,,I-Banda.7
2243,2,SR1_18_B1_scaffold_509483_7|SR1_18_Bp1_UNK|SR1_18_Bp1_QB3_181220,I-Banda,,I-Banda.17
2244,1,HIE54677.1,Unknown,,Unknown.330
2245,1,AAF97677.1,I-Eukaryotes,,I-Eukaryotes.60
2246,1,WP_051103939.1,IV-Non-photo,,IV-Non-photo.633
2247,1,OLS27808.1,Unknown,,Unknown.627
2248,1,RLE73159.1,Unknown,,Unknown.453
2249,1,HDI31586.1,Unknown,,Unknown.89
2250,1,RIFCSPLOWO2_02_FULL_Gammaproteobacteria_56_15_rifcsplowo2_02_scaffold_79926_1,IV-DeepYkr,,IV-DeepYkr.5
2251,1,WP_101307147.1,IV-NG2,,IV-NG2.12
2252,1,NOX29109.1,IV-Non-photo,,IV-Non-photo.455
2253,5,WP_149131315.1,IV-Non-photo,,IV-Non-photo.523
2254,5,TARA_031.SAMEA2619815.5.0-0.22_5040_7,IV-Non-photo,,IV-Non-photo.822
2255,3,WP_080827656.1,IV-Non-photo,,IV-Non-photo.269
2256,2,WP_138573703.1,IV-Non-photo,,IV-Non-photo.486
2257,1,WP_139365070.1,IV-NG1,,IV-NG1.23
2258,1,WP_156607628.1,IV-NG2,,IV-NG2.29
2259,1,AAL32968.1,Unknown,,Unknown.727
2260,2,MAY30867.1,IV-Non-photo,,IV-Non-photo.270
2261,1,WP_165571148.1,IV-Non-photo,,IV-Non-photo.817
2262,1,MBE0511983.1,Unknown,,Unknown.73
2263,1,MBD1203952.1,IV-Non-photo,,IV-Non-photo.510
2264,1,PIU76120.1,Unknown,,Unknown.160
2265,2,GBE55920.1,Unknown,,Unknown.623
2266,1,VDD88660.1,III,,III.69
2267,1,ABC33842.1,I-Eukaryotes,,I-Eukaryotes.35
2268,2,MBE6515541.1,Unknown,,Unknown.565
2269,1,VDD88895.1,III,,III.107
2270,1,QGJ69239.1,IV-Ykr,,IV-Ykr.12
2271,1,RME49636.1,IV-DeepYkr,,IV-DeepYkr.88
2272,1,MBC8507730.1,IV-DeepYkr,,IV-DeepYkr.54
2273,2,WP_097154759.1,IV-DeepYkr,,IV-DeepYkr.205
2274,1,WP_119481183.1,IV-DeepYkr,,IV-DeepYkr.264
2275,1,WP_166936767.1,IV-DeepYkr,,IV-DeepYkr.293
2276,1,ABI18214.1,I-Eukaryotes,,I-Eukaryotes.61
2277,1,RMG43845.1,IV-DeepYkr,,IV-DeepYkr.242
2278,1,EUA52020.1,I-E,,I-E.55
2279,1,RYZ00477.1,IV-Non-photo,,IV-Non-photo.798
2280,4,WP_096671583.1,I-CD,,I-CD.137
2281,1,GBD45030.1,I-CD,,I-CD.134
2282,4,5MAC_A,Unknown,,Unknown.682
2283,2,OQW92429.1,I-A,,I-A.62
2284,72,AAB17444.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 57, Unknown: 15",I-Eukaryotes/Unknown.148
2285,1,NMC08114.1,IV-Ykr-2,,IV-Ykr-2.197
2286,1,PZS20938.1,I-E,,I-E.24
2287,1,WP_173977046.1,Unknown,,Unknown.854
2288,1,NWG32284.1,Unknown,,Unknown.953
2289,1,OYW33691.1,IV-Non-photo,,IV-Non-photo.124
2290,3,KAB2935449.1,Unknown,,Unknown.839
2291,1,VDS11154.1,III,,III.40
2292,1,HHJ06498.1,IV-Photo,,IV-Photo.25
2293,1,WP_183389480.1,IV-Non-photo,,IV-Non-photo.104
2294,1,KUO39449.1,Unknown,,Unknown.38
2295,1,WP_062206014.1,IV-Non-photo,,IV-Non-photo.720
2296,1,WP_129628360.1,IV-Non-photo,,IV-Non-photo.112
2297,2,WP_173149484.1,IV-Non-photo,,IV-Non-photo.51
2298,1,WP_123929203.1,Unknown,,Unknown.322
2299,3,BAJ21575.1,I-Eukaryotes,,I-Eukaryotes.14
2300,3,WP_131856074.1,IV-Non-photo,,IV-Non-photo.377
2301,1,HGY75382.1,Unknown,,Unknown.128
2302,2,VDD88693.1,III,,III.77
2303,2,WP_149739991.1,IV-Non-photo,,IV-Non-photo.699
2304,1,WP_194106779.1,IV-Non-photo,,IV-Non-photo.429
2305,1,WP_084236399.1,IV-Non-photo,,IV-Non-photo.701
2306,1,RLE53433.1,Unknown,,Unknown.536
2307,1,AAL46534.1,I-Eukaryotes,,I-Eukaryotes.57
2308,1,TARA_048.SAMEA2620404.5.0.22-1.6_62416_75,IV-GOS_Global,,IV-GOS_Global.57
2309,4,TARA_031.SAMEA2619815.5.0-0.22_19224_5,IV-GOS_Global,,IV-GOS_Global.89
2310,1,WP_096624001.1,IV-Ykr,,IV-Ykr.29
2311,3,KXK02801.1,IV-DeepYkr/Unknown,"IV-DeepYkr: 2, Unknown: 1",IV-DeepYkr/Unknown.1
2312,1,WP_159823058.1,IV-DeepYkr,,IV-DeepYkr.181
2313,1,WP_096171887.1,IV-DeepYkr,,IV-DeepYkr.450
2314,1,WP_183367920.1,IV-DeepYkr,,IV-DeepYkr.239
2315,2,HDN27692.1,IV-DeepYkr,,IV-DeepYkr.148
2316,1,WP_165047378.1,IV-DeepYkr,,IV-DeepYkr.332
2317,1,WP_136384946.1,IV-DeepYkr,,IV-DeepYkr.344
2318,1,KAF5821263.1,I-Eukaryotes,,I-Eukaryotes.88
2319,1,VDS11195.1,II-III,,II-III.2
2320,1,RMH45282.1,I-A,,I-A.6
2321,1,TARA_137.SAMEA2623314.375.0.22-3_1502813_3,Unknown,,Unknown.1092
2322,3,MBE7460703.1,Unknown,,Unknown.866
2323,1,AAD11774.1,Unknown,,Unknown.920
2324,1,HHY16479.1,IV-Ykr-2,,IV-Ykr-2.53
2325,1,VDD89170.1,III,,III.20
2326,2,MBA5874654.1,IV-DeepYkr,,IV-DeepYkr.321
2327,1,VDD88953.1,III,,III.59
2328,1,WP_188851562.1,IV-Non-photo,,IV-Non-photo.695
2329,2,TKJ22373.1,Unknown,,Unknown.356
2330,2,VDS11163.1,III,,III.61
2331,1,WP_150972919.1,IV-Non-photo,,IV-Non-photo.777
2332,1,WP_129223778.1,IV-Non-photo,,IV-Non-photo.731
2333,1,WP_152577956.1,IV-Non-photo,,IV-Non-photo.162
2334,1,NJM31169.1,IV-Non-photo,,IV-Non-photo.537
2335,6,MBN61463.1,IV-Non-photo/Unknown,"IV-Non-photo: 5, Unknown: 1",IV-Non-photo/Unknown.4
2336,2,TARA_093.SAMEA2621812.35.0.22-3_645542_6,Unknown,,Unknown.1100
2337,1,WP_047996073.1,IV-Non-photo,,IV-Non-photo.283
2338,2,WP_182829877.1,IV-Non-photo,,IV-Non-photo.577
2339,1,WP_066011170.1,IV-Non-photo,,IV-Non-photo.250
2340,2,WP_100133425.1,IV-Non-photo,,IV-Non-photo.106
2341,1,WP_109742343.1,IV-Non-photo,,IV-Non-photo.316
2342,1,NYT01045.1,Unknown,,Unknown.467
2343,2,WP_063708307.1,IV-Non-photo,,IV-Non-photo.582
2344,1,NLE05764.1,Unknown,,Unknown.90
2345,2,TARA_018.SAMEA2619667.5.0.22-1.6_2679_10,IV-GOS_Global,,IV-GOS_Global.32
2346,1,HIH44559.1,Unknown,,Unknown.564
2347,1,HHN14532.1,IV-DeepYkr,,IV-DeepYkr.129
2348,1,NMB55346.1,IV-DeepYkr,,IV-DeepYkr.26
2349,1,VDD89064.1,III,,III.192
2350,1,WP_073066144.1,IV-DeepYkr,,IV-DeepYkr.197
2351,1,WP_088343331.1,IV-DeepYkr,,IV-DeepYkr.381
2352,1,RZK58623.1,IV-Non-photo,,IV-Non-photo.740
2353,1,MBA3741728.1,I-E,,I-E.20
2354,176,CAB10739.2,I-Eukaryotes/Unknown,"I-Eukaryotes: 164, Unknown: 12",I-Eukaryotes/Unknown.58
2355,6,TNF89511.1,I-A,,I-A.50
2356,276,AFA27689.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 254, Unknown: 22",I-Eukaryotes/Unknown.150
2357,97,AFV75086.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 80, Unknown: 17",I-Eukaryotes/Unknown.116
2358,2,TAN52003.1,Unknown,,Unknown.941
2359,1,WP_147162690.1,Unknown,,Unknown.823
2360,55,CCQ42923.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 38, Unknown: 17",I-Eukaryotes/Unknown.7
2361,1,HBY96112.1,IV-Ykr-2,,IV-Ykr-2.39
2362,1,NPV92707.1,IV-Ykr-2,,IV-Ykr-2.28
2363,1,WP_121919240.1,Unknown,,Unknown.789
2364,1,WP_151004101.1,IV-Non-photo,,IV-Non-photo.55
2365,1,TVQ10387.1,IV-DeepYkr,,IV-DeepYkr.203
2366,1,PSP83477.1,Unknown,,Unknown.298
2367,1,WP_183231307.1,IV-Non-photo,,IV-Non-photo.49
2368,1,WP_189506880.1,IV-Non-photo,,IV-Non-photo.753
2369,1,WP_183981751.1,IV-Non-photo,,IV-Non-photo.248
2370,1,WP_066498091.1,IV-NG3,,IV-NG3.19
2371,1,WP_099509535.1,IV-Non-photo,,IV-Non-photo.751
2372,1,VDD88670.1,III,,III.76
2373,1,VDD89256.1,III,,III.98
2374,4,WP_092662985.1,Unknown,,Unknown.272
2375,3,WP_095164994.1,IV-Non-photo,,IV-Non-photo.456
2376,2,WP_039015246.1,IV-Non-photo,,IV-Non-photo.41
2377,1,NLN72029.1,Unknown,,Unknown.555
2378,2,NBO01795.1,IV-Non-photo,,IV-Non-photo.223
2379,1,VDD89112.1,III,,III.199
2380,1,WP_165266537.1,IV-DeepYkr,,IV-DeepYkr.200
2381,1,NLV25853.1,Unknown,,Unknown.544
2382,1,KQC03310.1,Unknown,,Unknown.540
2383,1,TARA_034.SAMEA2619923.60.0-0.22_119_14,IV-GOS_Global,,IV-GOS_Global.103
2384,1,NRA37454.1,IV-Non-photo,,IV-Non-photo.403
2385,1,TARA_034.SAMEA2619923.60.0-0.22_235_17,IV-GOS_Global,,IV-GOS_Global.63
2386,1,WP_012598361.1,IV-Ykr,,IV-Ykr.16
2387,1,RBG_19FT_COMBO_Aminicenantes-rel_58_17_rbg_19ft_combo_scaffold_871_21,Unknown,,Unknown.33
2388,1,WP_007554764.1,IV-DeepYkr,,IV-DeepYkr.100
2389,1,MBE9479162.1,IV-DeepYkr,,IV-DeepYkr.59
2390,1,VDD89031.1,III,,III.140
2391,1,WP_076412354.1,IV-Non-photo,,IV-Non-photo.811
2392,10,CDF56935.1,I-A,,I-A.93
2393,2,EDN72730.1,IV-DeepYkr,,IV-DeepYkr.176
2394,1,GBD44185.1,IV-Non-photo,,IV-Non-photo.819
2395,1,TARA_100.SAMEA2622149.177.0.22-3_1831732_5,IV-GOS_Global,,IV-GOS_Global.31
2396,3,WP_157549002.1,I-CD,,I-CD.131
2397,1,HGC41729.1,I-CD,,I-CD.138
2398,30,QBE88505.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 26, Unknown: 4",I-Eukaryotes/Unknown.153
2399,2,MBA3840441.1,I-F,,I-F.2
2400,2,RDH85148.1,Unknown,,Unknown.933
2401,18,AJT48073.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 13, Unknown: 5",I-Eukaryotes/Unknown.100
2402,4,HDO73881.1,Unknown,,Unknown.892
2403,7,gwc2_scaffold_23334_2,Unknown,,Unknown.30
2404,1,WP_090484260.1,Unknown,,Unknown.888
2405,8,AAC62463.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 7, Unknown: 1",I-Eukaryotes/Unknown.64
2406,70,BBB46122.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 60, Unknown: 10",I-Eukaryotes/Unknown.65
2407,1,RBG_16_Deltaproteobacteria_Desulfobacca_60_12_RBG_16_scaffold_8647_50,IV-Ykr-2,,IV-Ykr-2.13
2408,1,WP_193735116.1,IV-Ykr-2,,IV-Ykr-2.183
2409,2,OIO24293.1,Unknown,,Unknown.293
2410,1,WP_043757516.1,IV-Photo,,IV-Photo.66
2411,81,AWV54793.1,Ambiguous,"I-Eukaryotes: 74, Unknown: 6, I-CD: 1",Ambiguous.19
2412,2,VDD89242.1,III,,III.26
2413,1,HGB33043.1,Unknown,,Unknown.655
2414,1,WP_179741309.1,IV-Non-photo,,IV-Non-photo.21
2415,1,MBC8450161.1,IV-Ykr-2,,IV-Ykr-2.129
2416,1,WP_168122374.1,IV-NG1,,IV-NG1.38
2417,1,WP_050465173.1,IV-Non-photo,,IV-Non-photo.586
2418,1,MBD3310098.1,Unknown,,Unknown.229
2419,1,WP_172218387.1,IV-Non-photo,,IV-Non-photo.793
2420,1,WP_151119727.1,IV-Non-photo,,IV-Non-photo.362
2421,2,WP_090301244.1,IV-Non-photo,,IV-Non-photo.791
2422,2,YP004622994_Pyrococcus_yayanosii_CH1,Unknown,,Unknown.1019
2423,1,WP_106266505.1,IV-Non-photo,,IV-Non-photo.136
2424,1,WP_132240994.1,IV-Non-photo,,IV-Non-photo.453
2425,1,WP_058245742.1,IV-Non-photo,,IV-Non-photo.266
2426,1,RLG18973.1,Unknown,,Unknown.251
2427,1,PIY97215.1,III,,III.131
2428,1,HEC31086.1,Unknown,,Unknown.351
2429,1,TARA_037.SAMEA2619974.600.0.1-0.22_5528_5,IV-GOS_Global,,IV-GOS_Global.43
2430,3,TARA_041.SAMEA2620227.60.0-0.22_534254_3,IV-GOS_Global,,IV-GOS_Global.97
2431,1,VDD89117.1,IV-GOS_Global,,IV-GOS_Global.2
2432,68,ABL96501.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 62, Unknown: 6",I-Eukaryotes/Unknown.132
2433,3,WP_012844388.1,IV-DeepYkr,,IV-DeepYkr.178
2434,1,TMJ02418.1,IV-DeepYkr,,IV-DeepYkr.212
2435,3,TARA_078.SAMEA2621259.5.0.22-0.45_1923555_2,IV-GOS_Global,,IV-GOS_Global.123
2436,2,VDD89030.1,III,,III.156
2437,1,NBW66357.1,IV-Photo,,IV-Photo.115
2438,1,WP_189041240.1,I-CD,,I-CD.132
2439,1,PSP17776.1,I-Unclassified,,I-Unclassified.23
2440,21,YP_009420408.1,Ambiguous,"I-Eukaryotes: 17, I-CD: 2, Unknown: 2",Ambiguous.9
2441,2,MBA2366898.1,I-Unclassified,,I-Unclassified.17
2442,1,VDD88893.1,III,,III.226
2443,1,PSO56447.1,I-B,,I-B.5
2444,29,AAO39825.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 20, Unknown: 9",I-Eukaryotes/Unknown.131
2445,1,HGX93486.1,I-A,,I-A.52
2446,3,QJX14039.1,Unknown,,Unknown.662
2447,1,RUM35076.1,Unknown,,Unknown.513
2448,1,RMH52320.1,Unknown,,Unknown.780
2449,1,KJS13813.1,Unknown,,Unknown.840
2450,1,WP_068489216.1,Unknown,,Unknown.831
2451,1,KAA3629265.1,IV-Photo,,IV-Photo.114
2452,1,WP_182582143.1,IV-Photo,,IV-Photo.96
2453,1,MBC7251372.1,IV-Ykr-2,,IV-Ykr-2.27
2454,1,RME77879.1,Unknown,,Unknown.281
2455,1,WP_093402581.1,Unknown,,Unknown.1016
2456,2,WP_008932593.1,IV-Photo,,IV-Photo.55
2457,1,HDP73437.1,Unknown,,Unknown.186
2458,1,NHV06229.1,Unknown,,Unknown.43
2459,1,WP_013779251.1,IV-Ykr-2,,IV-Ykr-2.101
2460,5,GFM69819.1,IV-Non-photo,,IV-Non-photo.6
2461,2,WP_094823029.1,IV-Non-photo,,IV-Non-photo.319
2462,1,NPA75613.1,Unknown,,Unknown.243
2463,1,WP_107834029.1,IV-Non-photo,,IV-Non-photo.755
2464,3,RLE41071.1,Unknown,,Unknown.152
2465,1,WP_114332740.1,IV-NG3,,IV-NG3.18
2466,2,WP_189639435.1,IV-Non-photo,,IV-Non-photo.494
2467,1,WP_128490896.1,IV-Non-photo,,IV-Non-photo.584
2468,3,MAA96721.1,IV-Non-photo,,IV-Non-photo.215
2469,2,KXA92713.1,Unknown,,Unknown.88
2470,2,NYT11051.1,Unknown,,Unknown.557
2471,1,WP_137402111.1,IV-Non-photo,,IV-Non-photo.554
2472,1,WP_120181713.1,IV-Non-photo,,IV-Non-photo.371
2473,1,VDD88701.1,III,,III.224
2474,2,TARA_018.SAMEA2619667.5.0.22-1.6_10157_8,IV-GOS_Global,,IV-GOS_Global.54
2475,1,NBB89903.1,IV-DeepYkr,,IV-DeepYkr.29
2476,1,HEC96201.1,Unknown,,Unknown.464
2477,1,WP_164209773.1,IV-DeepYkr,,IV-DeepYkr.438
2478,2,HGO01771.1,Unknown,,Unknown.338
2479,1,WP_040668987.1,I-Unclassified,,I-Unclassified.28
2480,1,AAM88833.1,Unknown,,Unknown.730
2481,1,NBO75720.1,I-CD,,I-CD.108
2482,1,PJA48441.1,Unknown,,Unknown.693
2483,3,WP_153413432.1,I-E,,I-E.5
2484,3,WP_136419035.1,I-A,,I-A.46
2485,1,AKG25333.1,Unknown,,Unknown.661
2486,2,HHM04890.1,Unknown,,Unknown.779
2487,20,AAA53412.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 17, Unknown: 3",I-Eukaryotes/Unknown.9
2488,2,VDD88993.1,III,,III.215
2489,2,WP_082979101.1,IV-NG2,,IV-NG2.46
2490,1,VDD88719.1,III,,III.33
2491,1,MBA3480117.1,IV-Non-photo,,IV-Non-photo.99
2492,1,WP_150092840.1,IV-Photo,,IV-Photo.28
2493,4,PMB76193.1,Unknown,,Unknown.288
